mode,id,query,is_oos,language,category,province,question_type,source_set,expected_act,expected_section,corpus_target_available,recall_evaluable,status,rank,recall_at_5,recall_at_10,act_only_rank,latency_ms,normalized_query,error
hybrid_reranker,EX01,What is the punishment under Section 302 PPC?,False,English,exact_citation,,single_section,new_validated_100,PPC,302,True,True,ok,1,True,True,1,39189.65329999992,What is the punishment under Section 302 PPC?,
hybrid_reranker,EX02,What does Section 379 PPC provide?,False,English,exact_citation,,single_section,new_validated_100,PPC,379,True,True,ok,1,True,True,1,40427.35410000023,What does Section 379 PPC provide?,
hybrid_reranker,EX03,What is the punishment under Section 417 PPC?,False,English,exact_citation,,single_section,new_validated_100,PPC,417,True,True,ok,1,True,True,1,33271.00629999995,What is the punishment under Section 417 PPC?,
hybrid_reranker,EX04,What does Section 380 PPC say?,False,English,exact_citation,,single_section,new_validated_100,PPC,380,True,True,ok,1,True,True,1,33567.28229999999,What does Section 380 PPC say?,
hybrid_reranker,EX05,What is provided under Section 381 PPC?,False,English,exact_citation,,single_section,new_validated_100,PPC,381,True,True,ok,1,True,True,1,39482.1836000001,What is provided under Section 381 PPC?,
hybrid_reranker,EX06,What does Section 419 PPC provide?,False,English,exact_citation,,single_section,new_validated_100,PPC,419,True,True,ok,1,True,True,1,41060.019399999874,What does Section 419 PPC provide?,
hybrid_reranker,EX07,What is stated in Section 465 PPC?,False,English,exact_citation,,single_section,new_validated_100,PPC,465,True,True,ok,1,True,True,1,35630.46139999961,What is stated in Section 465 PPC?,
hybrid_reranker,EX08,What does Section 356 PPC say?,False,English,exact_citation,,single_section,new_validated_100,PPC,356,True,True,ok,1,True,True,1,35563.8998999998,What does Section 356 PPC say?,
hybrid_reranker,EX09,What does Article 9 of the Constitution provide?,False,English,exact_citation,,single_section,new_validated_100,Constitution,9,False,False,corpus_gap,,False,False,,,,
hybrid_reranker,EX10,What does Article 25 of the Constitution provide?,False,English,exact_citation,,single_section,new_validated_100,Constitution,25,False,False,corpus_gap,,False,False,,,,
