mode,id,query,is_oos,language,category,province,question_type,source_set,expected_act,expected_section,corpus_target_available,recall_evaluable,status,rank,recall_at_5,recall_at_10,act_only_rank,latency_ms,normalized_query,error
hybrid,EX01,What is the punishment under Section 302 PPC?,False,English,exact_citation,,single_section,new_validated_100,PPC,302,True,True,ok,5,True,True,1,68.75950000539888,What is the punishment under Section 302 PPC?,
hybrid,EX02,What does Section 379 PPC provide?,False,English,exact_citation,,single_section,new_validated_100,PPC,379,True,True,ok,1,True,True,1,63.56960000266554,What does Section 379 PPC provide?,
hybrid,EX03,What is the punishment under Section 417 PPC?,False,English,exact_citation,,single_section,new_validated_100,PPC,417,True,True,ok,2,True,True,1,42.40600000048289,What is the punishment under Section 417 PPC?,
hybrid,EX04,What does Section 380 PPC say?,False,English,exact_citation,,single_section,new_validated_100,PPC,380,True,True,ok,2,True,True,1,69.98249999742256,What does Section 380 PPC say?,
hybrid,EX05,What is provided under Section 381 PPC?,False,English,exact_citation,,single_section,new_validated_100,PPC,381,True,True,ok,4,True,True,1,48.26809999940451,What is provided under Section 381 PPC?,
hybrid,EX06,What does Section 419 PPC provide?,False,English,exact_citation,,single_section,new_validated_100,PPC,419,True,True,ok,1,True,True,1,40.62809999595629,What does Section 419 PPC provide?,
hybrid,EX07,What is stated in Section 465 PPC?,False,English,exact_citation,,single_section,new_validated_100,PPC,465,True,True,ok,1,True,True,1,42.562899994663894,What is stated in Section 465 PPC?,
hybrid,EX08,What does Section 356 PPC say?,False,English,exact_citation,,single_section,new_validated_100,PPC,356,True,True,ok,2,True,True,1,39.56499999912921,What does Section 356 PPC say?,
hybrid,EX09,What does Article 9 of the Constitution provide?,False,English,exact_citation,,single_section,new_validated_100,Constitution,9,False,False,corpus_gap,,False,False,,,,
hybrid,EX10,What does Article 25 of the Constitution provide?,False,English,exact_citation,,single_section,new_validated_100,Constitution,25,False,False,corpus_gap,,False,False,,,,
hybrid,EX11,Explain Section 378 PPC.,False,English,exact_citation,,single_section,new_validated_100,PPC,378,True,True,ok,,False,False,1,40.12069999589585,Explain Section 378 PPC.,
hybrid,EX12,What is stated in Section 420 PPC?,False,English,exact_citation,,single_section,new_validated_100,PPC,420,True,True,ok,3,True,True,1,38.6002000013832,What is stated in Section 420 PPC?,
hybrid,EX13,What does Section 34 PPC provide?,False,English,exact_citation,,single_section,new_validated_100,PPC,34,True,True,ok,1,True,True,1,55.88020000141114,What does Section 34 PPC provide?,
hybrid,EX14,Explain Section 376 PPC.,False,English,exact_citation,,single_section,new_validated_100,PPC,376,True,True,ok,2,True,True,1,45.869999994465616,Explain Section 376 PPC.,
hybrid,EX15,What does Section 439 PPC say?,False,English,exact_citation,,single_section,new_validated_100,PPC,439,True,True,ok,4,True,True,1,52.371199999470264,What does Section 439 PPC say?,
hybrid,EX16,What is stated under Section 511 PPC?,False,English,exact_citation,,single_section,new_validated_100,PPC,511,True,True,ok,1,True,True,1,66.08459999551997,What is stated under Section 511 PPC?,
