mode,id,query,is_oos,language,category,province,question_type,source_set,expected_act,expected_section,corpus_target_available,recall_evaluable,status,rank,recall_at_5,recall_at_10,act_only_rank,latency_ms,normalized_query,error
vector_only,EX01,What is the punishment under Section 302 PPC?,False,English,exact_citation,,single_section,new_validated_100,PPC,302,True,True,ok,,False,False,1,53.793899998709094,What is the punishment under Section 302 PPC?,
vector_only,EX02,What does Section 379 PPC provide?,False,English,exact_citation,,single_section,new_validated_100,PPC,379,True,True,ok,,False,False,4,35.971100005554035,What does Section 379 PPC provide?,
vector_only,EX03,What is the punishment under Section 417 PPC?,False,English,exact_citation,,single_section,new_validated_100,PPC,417,True,True,ok,,False,False,1,34.59090000251308,What is the punishment under Section 417 PPC?,
vector_only,EX04,What does Section 380 PPC say?,False,English,exact_citation,,single_section,new_validated_100,PPC,380,True,True,ok,,False,False,2,34.660400000575464,What does Section 380 PPC say?,
vector_only,EX05,What is provided under Section 381 PPC?,False,English,exact_citation,,single_section,new_validated_100,PPC,381,True,True,ok,,False,False,2,34.771200000250246,What is provided under Section 381 PPC?,
vector_only,EX06,What does Section 419 PPC provide?,False,English,exact_citation,,single_section,new_validated_100,PPC,419,True,True,ok,,False,False,8,37.36889999709092,What does Section 419 PPC provide?,
vector_only,EX07,What is stated in Section 465 PPC?,False,English,exact_citation,,single_section,new_validated_100,PPC,465,True,True,ok,,False,False,2,35.83790000266163,What is stated in Section 465 PPC?,
vector_only,EX08,What does Section 356 PPC say?,False,English,exact_citation,,single_section,new_validated_100,PPC,356,True,True,ok,,False,False,3,36.41619999689283,What does Section 356 PPC say?,
vector_only,EX09,What does Article 9 of the Constitution provide?,False,English,exact_citation,,single_section,new_validated_100,Constitution,9,False,False,corpus_gap,,False,False,,,,
vector_only,EX10,What does Article 25 of the Constitution provide?,False,English,exact_citation,,single_section,new_validated_100,Constitution,25,False,False,corpus_gap,,False,False,,,,
vector_only,EX11,Explain Section 378 PPC.,False,English,exact_citation,,single_section,new_validated_100,PPC,378,True,True,ok,,False,False,2,35.86550000181887,Explain Section 378 PPC.,
vector_only,EX12,What is stated in Section 420 PPC?,False,English,exact_citation,,single_section,new_validated_100,PPC,420,True,True,ok,,False,False,9,38.18619999947259,What is stated in Section 420 PPC?,
vector_only,EX13,What does Section 34 PPC provide?,False,English,exact_citation,,single_section,new_validated_100,PPC,34,True,True,ok,,False,False,3,54.29829999775393,What does Section 34 PPC provide?,
